list_name,official_id,gender,additional_info,extra
EU,EU.165.92,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""ibrahim ahmed abdel sattar mohammed al-tikriti""},{""full_name"":""ibrahim ahmad abd al-sattar muhammed al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1950,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mosul"",""country_code"":""""},{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mossoul (J.O. FR)"",""country_code"":""""}]}"
EU,EU.45.3,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""saif-al-din fulayyih hassan taha al-rawi""},{""full_name"":""saïf-al-din foulaï hassan taha al-raoui""},{""full_name"":""ayad foutaï al-raoui""},{""full_name"":""ayad futayyih al-rawi""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1953,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Ramadi"",""country_code"":""""}]}"
EU,EU.52.12,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""rafi abd-al-latif tilfah al-tikriti""},{""full_name"":""rafi abdel latif tilfa al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1954,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Tikrit"",""country_code"":""""}]}"
EU,EU.120.33,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""tahir jalil habbush al-tikriti""},{""full_name"":""tahir jalil habbouch al-tikriti""},{""full_name"":""tahir jalil habbush al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1950,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Tikrit"",""country_code"":""""}]}"
EU,EU.146.66,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""hamid raja shalah al-tikriti""},{""full_name"":""hamid raja chala al-tikriti""},{""full_name"":""hamid raja-shalah hassum al-tikriti""},{""full_name"":""hassan al-tikriti""},{""full_name"":""hamid raja-chala hassoum al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1950,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Bayji, Salah al-Din Governorate"",""country_code"":""""},{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Bayji, Gobernación de Salah Al-Din (J.O. ES)"",""country_code"":""""},{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Salaheddine (J.O. FR)"",""country_code"":""""}]}"
EU,EU.148.68,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""abd-al-tawwab mullah huwaysh""},{""full_name"":""abdel-taouab moullah houwaïch""},{""full_name"":""abd-al-tawwab mullah huwaysh""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""date"":""1942-03-14"",""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mosul"",""country_code"":""""},{""year"":1957,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Baghdad"",""country_code"":""""},{""date"":""1942-03-14"",""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Baghdad"",""country_code"":""""},{""year"":1957,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mosul"",""country_code"":""""}]}"
EU,EU.157.32,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""taha yassin ramadan al-jizrawi""},{""full_name"":""taha yassine ramadan al-jizraoui""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1938,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mosul"",""country_code"":""IQ""}]}"
EU,EU.133.1,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""jamal mustafa abdallah sultan al-tikriti""},{""full_name"":""jamal mustafa abdallah sultan al-tikriti""},{""full_name"":""jamal moustafa abdallah soultan al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""date"":""1955-05-04"",""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Samnah, near Tikrit"",""country_code"":""IQ""}]}"
EU,EU.69.59,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""mizban khadr hadi""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1938,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mandali District, Diyala"",""country_code"":""""},{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mandalin piiri, Diyala (J.O. FI)"",""country_code"":""""}]}"
EU,EU.71.49,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""taha muhyi-al-din ma'ruf""},{""full_name"":""taha mouhi-al-din marouf""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1924,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Sulaymaniyah"",""country_code"":""""},{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Souleimaniyah (J.O. FR)"",""country_code"":""""}]}"
EU,EU.77.33,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""tariq aziz""},{""full_name"":""tarek mikhail aziz""},{""full_name"":""tarek aziz""},{""full_name"":""tariq mikhail aziz""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""date"":""1936-07-01"",""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Baghdad"",""country_code"":""IQ""},{""date"":""1936-07-01"",""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mosul"",""country_code"":""IQ""}]}"
EU,EU.88.96,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""walid hamid tawfiq al-nasiri""},{""full_name"":""walid hamid tawfik al-nasiri""},{""full_name"":""walid hamid tawfiq al-tikriti""},{""full_name"":""walid hamid tawfik al-tikriti""},{""full_name"":""walid hamid tawfiq al-nasiri""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1954,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Tikrit"",""country_code"":""""}]}"
EU,EU.89.61,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""soultan hachim ahmed al-tai""},{""full_name"":""sultan hashim ahmad al-ta'i""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mossoul (J.O. FR)"",""country_code"":""""},{""year"":1944,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mosul"",""country_code"":""""}]}"
EU,EU.97.35,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""hikmat mizban ibrahim al-azzawi""},{""full_name"":""hikmat mizban ibrahim al-azzaoui""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1934,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Diyala"",""country_code"":""""}]}"
EU,EU.59.58,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""sab'awi ibrahim hassan al-tikriti""},{""full_name"":""sab'awi ibrahim hassan al-tikriti""},{""full_name"":""sabaoui ibrahim hassan al-tikriti""},{""full_name"":""sab'awi ibrahim hassan al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1947,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Tikrit"",""country_code"":""""}]}"
